app,policy_area,metric,period,value
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q2,"2,300,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q3,"1,800,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q4,"1,800,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q1,"2,100,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q2,"1,900,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q3,"2,300,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q4,"2,500,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2023Q1,"1,900,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2023Q2,"1,700,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2023Q3,"1,800,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2023Q4,"1,900,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2024Q1,"771,700"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2024Q2,"922,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2024Q3,"1,400,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2024Q4,"2,500,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2025Q1,"1,500,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2025Q2,"2,500,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2025Q3,"3,700,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2025Q4,"2,500,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2017Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q2,"25,600,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q3,"21,200,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q4,"19,800,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q1,"16,500,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q2,"20,400,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q3,"30,100,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q4,"25,200,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2023Q1,"8,900,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2023Q2,"7,200,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2023Q3,"16,900,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2023Q4,"16,200,000"
