Warns,,,,,
,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,
Child Safety,"2,018",99,"67,862",,
Deceptive Practices,"26,700",23,1,,
Exploitative and Unsolicited Content,"22,943",25,"1,255,533",,
Harassment and Bullying,"2,141",66,"32,072",,
Hateful Conduct,705,267,"19,036",,
Identity and Authenticity,12,1,1,,
Misinformation,1,1,"3,843",,
Platform Manipulation,17,5,33,,
Regulated or Illegal Activities,2,18,"549,397",,
Self-Harm Concerns,133,117,"4,046",,
Violent and Graphic Content,823,136,"57,296",,
Violent Extremism,--,--,--,,
,,,,,
Total:,"55,495",758,"1,989,120",,
,,,,,
Accounts Disabled,,,,,
,,,,,
Accounts Disabled Category,Accounts Disabled,,,,
Child Safety,"116,219",,,,
Deceptive Practices,"6,470",,,,
Exploitative and Unsolicited Content,"52,612",,,,
Harassment and Bullying,"10,320",,,,
Hateful Conduct,"3,313",,,,
Identity and Authenticity,156,,,,
Misinformation,19,,,,
Platform Manipulation,"2,878",,,,
Regulated or Illegal Activities,"32,633",,,,
Self-Harm Concerns,"1,070",,,,
Violent and Graphic Content,"23,264",,,,
Violent Extremism,"6,109",,,,
,,,,,
Total:,"255,063",,,,
,,,,,
NCMEC,,,,,
,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,
October,"20,169",59,"20,228",,
November,"17,312",59,"17,371",,
December,"18,157",199,"18,356",,
,,,,,
Total,"55,638",317,"55,955",,
,,,,,
Servers Removed,,,,,
,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,
Child Safety,"28,009","1,119","29,128",,
Deceptive Practices,483,436,919,,
Exploitative and Unsolicited Content,"1,585",382,"1,967",,
Harassment and Bullying,290,252,542,,
Hateful Conduct,646,28,674,,
Identity and Authenticity,85,50,135,,
Misinformation,3,1,4,,
Platform Manipulation,624,100,724,,
Regulated or Illegal Activities,"12,516",619,"13,135",,
Self-Harm Concerns,597,130,727,,
Violent and Graphic Content,"2,143",89,"2,232",,
Violent Extremism,613,14,627,,
,,,,,
Total:,"47,594","3,220","50,814",,
,,,,,
Appeals,,,,,
,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted
