Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-35,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-35,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,2,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,2,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,2,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,2,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2024,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-21,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,2,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,65-69,65 - 69 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,2,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2025,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-8,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-8,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2025,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-8,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
