Year,Age,Race,Sex,Supply,Count
2024,Adolescent,Black,Female,Consumer,97
2024,Adolescent,Black,Female,Producer,24
2024,Adolescent,Black,Male,Consumer,219
2024,Adolescent,Black,Male,Producer,49
2024,Adolescent,Other,Female,Consumer,9
2024,Adolescent,Other,Female,Producer,3
2024,Adolescent,Other,Male,Consumer,33
2024,Adolescent,Other,Male,Producer,9
2024,Adolescent,Hispanic,Female,Consumer,39
2024,Adolescent,Hispanic,Female,Producer,7
2024,Adolescent,Hispanic,Male,Consumer,184
2024,Adolescent,Hispanic,Male,Producer,19
2024,Adult,,,Consumer,187
2024,Adult,,,Producer,18
2024,Adult,,Female,Consumer,39
2024,Adult,,Female,Producer,3
2024,Adult,,Male,Consumer,387
2024,Adult,,Male,Producer,19
2024,Adult,White,,Consumer,15
2024,Adult,White,Female,Consumer,300
2024,Adult,White,Female,Producer,49
2024,Adult,White,Male,Consumer,4144
2024,Adult,White,Male,Producer,345
2024,Adult,Black,Female,Consumer,103
2024,Adult,Black,Female,Producer,17
2024,Adult,Black,Male,Consumer,643
2024,Adult,Black,Male,Producer,65
2024,Adult,Other,,Consumer,1
2024,Adult,Other,Female,Consumer,12
2024,Adult,Other,Female,Producer,5
2024,Adult,Other,Male,Consumer,197
2024,Adult,Other,Male,Producer,17
2024,Adult,Hispanic,,Consumer,1
2024,Adult,Hispanic,,Producer,1
2024,Adult,Hispanic,Female,Consumer,39
2024,Adult,Hispanic,Female,Producer,7
2024,Adult,Hispanic,Male,Consumer,710
2024,Adult,Hispanic,Male,Producer,47
