"year","std_residuals"
2014,-0.373262134549833
2015,-0.304373757762948
2016,-0.126665303540481
2017,-0.346985198791981
2018,0.652013304671578
2019,-0.217538918373714
2020,0.107013906138331
2021,1.00073724477396
2022,0.947043026794581
2023,1.21176469875182
2024,-2.85118738571256
