country,entity,data_year,age,age_group,group_rank,sex,ethnicity,activity,count
Australia,Offender,2023,41,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,42,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,42,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,42,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,43,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,43,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,43,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,44,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,44,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,44,Adult,3,Male,,,22.62962962962963
Germany,Suspect,2023,0,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,0,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,0,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,0,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,1,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,1,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,1,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,1,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,2,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,2,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,2,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,2,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,3,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,3,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,3,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,3,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,4,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,4,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,4,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,4,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,5,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,5,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,5,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,5,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,6,Child,1,Female,,Consumer,11.0
Germany,Suspect,2023,6,Child,1,Female,,Producer,93.0
Germany,Suspect,2023,6,Child,1,Male,,Consumer,21.5
Germany,Suspect,2023,6,Child,1,Male,,Producer,134.5
Germany,Suspect,2023,7,Child,1,Female,,Consumer,11.0
Germany,Suspect,2023,7,Child,1,Female,,Producer,93.0
Germany,Suspect,2023,7,Child,1,Male,,Consumer,21.5
Germany,Suspect,2023,7,Child,1,Male,,Producer,134.5
Germany,Suspect,2023,8,Child,1,Female,,Consumer,20.5
Germany,Suspect,2023,8,Child,1,Female,,Producer,67.0
Germany,Suspect,2023,8,Child,1,Male,,Consumer,26.5
Germany,Suspect,2023,8,Child,1,Male,,Producer,161.0
Germany,Suspect,2023,9,Child,1,Female,,Consumer,20.5
Germany,Suspect,2023,9,Child,1,Female,,Producer,67.0
Germany,Suspect,2023,9,Child,1,Male,,Consumer,26.5
Germany,Suspect,2023,9,Child,1,Male,,Producer,161.0
Germany,Suspect,2023,10,Child,1,Female,,Consumer,54.5
Germany,Suspect,2023,10,Child,1,Female,,Producer,169.0
Germany,Suspect,2023,10,Child,1,Male,,Consumer,89.5
Germany,Suspect,2023,10,Child,1,Male,,Producer,251.5
Germany,Suspect,2023,11,Child,1,Female,,Consumer,54.5
Germany,Suspect,2023,11,Child,1,Female,,Producer,169.0
Germany,Suspect,2023,11,Child,1,Male,,Consumer,89.5
Germany,Suspect,2023,11,Child,1,Male,,Producer,251.5
Germany,Suspect,2023,12,Child,1,Female,,Consumer,155.0
Germany,Suspect,2023,12,Child,1,Female,,Producer,388.5
Germany,Suspect,2023,12,Child,1,Male,,Consumer,410.0
Germany,Suspect,2023,12,Child,1,Male,,Producer,936.5
Germany,Suspect,2023,13,Child,1,Female,,Consumer,155.0
Germany,Suspect,2023,13,Child,1,Female,,Producer,388.5
Germany,Suspect,2023,13,Child,1,Male,,Consumer,410.0
Germany,Suspect,2023,13,Child,1,Male,,Producer,936.5
Germany,Suspect,2023,14,Juvenile,2,Female,,Consumer,201.5
Germany,Suspect,2023,14,Juvenile,2,Female,,Producer,434.5
Germany,Suspect,2023,14,Juvenile,2,Male,,Consumer,1046.5
Germany,Suspect,2023,14,Juvenile,2,Male,,Producer,1977.0
Germany,Suspect,2023,15,Juvenile,2,Female,,Consumer,201.5
Germany,Suspect,2023,15,Juvenile,2,Female,,Producer,434.5
Germany,Suspect,2023,15,Juvenile,2,Male,,Consumer,1046.5
Germany,Suspect,2023,15,Juvenile,2,Male,,Producer,1977.0
Germany,Suspect,2023,16,Juvenile,2,Female,,Consumer,92.5
Germany,Suspect,2023,16,Juvenile,2,Female,,Producer,190.0
Germany,Suspect,2023,16,Juvenile,2,Male,,Consumer,939.5
Germany,Suspect,2023,16,Juvenile,2,Male,,Producer,1501.5
Germany,Suspect,2023,17,Juvenile,2,Female,,Consumer,92.5
Germany,Suspect,2023,17,Juvenile,2,Female,,Producer,190.0
Germany,Suspect,2023,17,Juvenile,2,Male,,Consumer,939.5
Germany,Suspect,2023,17,Juvenile,2,Male,,Producer,1501.5
Germany,Suspect,2023,18,Adult,3,Female,,Consumer,37.333333333333336
Germany,Suspect,2023,18,Adult,3,Female,,Producer,70.0
Germany,Suspect,2023,18,Adult,3,Male,,Consumer,559.0
Germany,Suspect,2023,18,Adult,3,Male,,Producer,753.3333333333334
Germany,Suspect,2023,19,Adult,3,Female,,Consumer,37.333333333333336
Germany,Suspect,2023,19,Adult,3,Female,,Producer,70.0
Germany,Suspect,2023,19,Adult,3,Male,,Consumer,559.0
Germany,Suspect,2023,19,Adult,3,Male,,Producer,753.3333333333334
Germany,Suspect,2023,20,Adult,3,Female,,Consumer,37.333333333333336
Germany,Suspect,2023,20,Adult,3,Female,,Producer,70.0
Germany,Suspect,2023,20,Adult,3,Male,,Consumer,559.0
Germany,Suspect,2023,20,Adult,3,Male,,Producer,753.3333333333334
Germany,Suspect,2023,21,Adult,3,Female,,Consumer,31.5
Germany,Suspect,2023,21,Adult,3,Female,,Producer,38.5
Germany,Suspect,2023,21,Adult,3,Male,,Consumer,368.0
Germany,Suspect,2023,21,Adult,3,Male,,Producer,530.0
Germany,Suspect,2023,22,Adult,3,Female,,Consumer,31.5
Germany,Suspect,2023,22,Adult,3,Female,,Producer,38.5
Germany,Suspect,2023,22,Adult,3,Male,,Consumer,368.0
Germany,Suspect,2023,22,Adult,3,Male,,Producer,530.0
Germany,Suspect,2023,23,Adult,3,Female,,Consumer,21.5
Germany,Suspect,2023,23,Adult,3,Female,,Producer,41.5
Germany,Suspect,2023,23,Adult,3,Male,,Consumer,300.0
Germany,Suspect,2023,23,Adult,3,Male,,Producer,484.0
Germany,Suspect,2023,24,Adult,3,Female,,Consumer,21.5
Germany,Suspect,2023,24,Adult,3,Female,,Producer,41.5
Germany,Suspect,2023,24,Adult,3,Male,,Consumer,300.0
Germany,Suspect,2023,24,Adult,3,Male,,Producer,484.0
Germany,Suspect,2023,25,Adult,3,Female,,Consumer,25.0
Germany,Suspect,2023,25,Adult,3,Female,,Producer,34.0
Germany,Suspect,2023,25,Adult,3,Male,,Consumer,223.0
Germany,Suspect,2023,25,Adult,3,Male,,Producer,351.2
Germany,Suspect,2023,26,Adult,3,Female,,Consumer,25.0
Germany,Suspect,2023,26,Adult,3,Female,,Producer,34.0
Germany,Suspect,2023,26,Adult,3,Male,,Consumer,223.0
Germany,Suspect,2023,26,Adult,3,Male,,Producer,351.2
Germany,Suspect,2023,27,Adult,3,Female,,Consumer,25.0
Germany,Suspect,2023,27,Adult,3,Female,,Producer,34.0
Germany,Suspect,2023,27,Adult,3,Male,,Consumer,223.0
Germany,Suspect,2023,27,Adult,3,Male,,Producer,351.2
Germany,Suspect,2023,28,Adult,3,Female,,Consumer,25.0
Germany,Suspect,2023,28,Adult,3,Female,,Producer,34.0
Germany,Suspect,2023,28,Adult,3,Male,,Consumer,223.0
Germany,Suspect,2023,28,Adult,3,Male,,Producer,351.2
Germany,Suspect,2023,29,Adult,3,Female,,Consumer,25.0
Germany,Suspect,2023,29,Adult,3,Female,,Producer,34.0
Germany,Suspect,2023,29,Adult,3,Male,,Consumer,223.0
Germany,Suspect,2023,29,Adult,3,Male,,Producer,351.2
Germany,Suspect,2023,30,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,30,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,30,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,30,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,31,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,31,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,31,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,31,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,32,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,32,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,32,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,32,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,33,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,33,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,33,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,33,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,34,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,34,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,34,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,34,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,35,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,35,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,35,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,35,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,36,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,36,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,36,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,36,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,37,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,37,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,37,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,37,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,38,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,38,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,38,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,38,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,39,Adult,3,Female,,Consumer,37.2
Germany,Suspect,2023,39,Adult,3,Female,,Producer,50.5
Germany,Suspect,2023,39,Adult,3,Male,,Consumer,201.0
Germany,Suspect,2023,39,Adult,3,Male,,Producer,291.3
Germany,Suspect,2023,40,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,40,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,40,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,40,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,41,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,41,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,41,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,41,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,42,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,42,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,42,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,42,Adult,3,Male,,Producer,214.0
Germany,Suspect,2023,43,Adult,3,Female,,Consumer,39.3
Germany,Suspect,2023,43,Adult,3,Female,,Producer,43.1
Germany,Suspect,2023,43,Adult,3,Male,,Consumer,183.2
Germany,Suspect,2023,43,Adult,3,Male,,Producer,214.0
