year,population
1999,6089006339.5
2000,6171702993.5
2001,6254936459.5
2002,6337730342
2003,6420361633.5
2004,6503377772
2005,6586970131.5
2006,6671452015.5
2007,6757308781.5
2008,6844457662
2009,6932766415.5
2010,7021732148
2011,7110923765.5
2012,7201202484.5
2013,7291793585
2014,7381616244
2015,7470491871.5
2016,7558554525.5
2017,7645617954
2018,7729902780.5
2019,7811293698.5
2020,7887001292
2021,7954448391.5
2022,8021407192
2023,8091734930
2024,8161972572.5
2025,8231613070
