Region (NUTS2);Criminal typology;Age group;Sex;period;Total
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2018;113
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2017;84
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2016;102
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2015;114
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2014;77
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2013;76
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2012;145
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2011;97
TOTAL;3.4.-Pornography of minors;31-40 years;Male;2010;144
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2024;5
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2023;5
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2022;3
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2021;3
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2020;6
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2019;4
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2018;9
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2017;9
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2016;5
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2015;3
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2014;3
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2013;4
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2012;5
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2011;3
TOTAL;3.4.-Pornography of minors;31-40 years;Female;2010;0
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2024;99
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2023;104
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2022;62
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2021;78
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2020;74
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2019;98
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2018;122
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2017;93
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2016;107
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2015;117
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2014;80
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2013;80
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2012;150
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2011;100
TOTAL;3.4.-Pornography of minors;31-40 years;Total;2010;144
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2024;208
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2023;228
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2022;195
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2021;192
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2020;181
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2019;172
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2018;231
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2017;172
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2016;179
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2015;146
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2014;167
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2013;127
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2012;238
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2011;182
TOTAL;3.4.-Pornography of minors;41-64 years;Male;2010;186
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2024;12
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2023;5
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2022;9
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2021;7
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2020;15
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2019;11
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2018;10
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2017;18
TOTAL;3.4.-Pornography of minors;41-64 years;Female;2016;9
