country,iso3,2019,2020,2021,2022,2023,2024r,2024i
Kuwait,KWT,"63,492","68,582","78,803","58,456","70,754","31,726","6,655"
Kyrgyzstan,KGZ,"6,280","4,612","3,822","6,993","113,762","6,282","1,035"
Lao People's Democratic Republic,LAO,"23,599","24,402","43,809","26,507","20,337",15,10
Latvia,LVA,"1,347","1,418","1,537","3,688","4,671","6,298",321
Lebanon,LBN,"28,136","37,892","46,528","24,863","43,757","15,400","22,838"
Lesotho,LSO,878,"1,030",850,"2,708","1,214",576,77
Liberia,LBR,880,"1,926","1,770","6,375","2,987","1,357",528
Libya,LBY,"150,848","189,955","270,811","163,336","206,430","65,286","11,940"
Liechtenstein,LIE,16,26,17,48,32,46,
Lithuania,LTU,"11,857","7,624","3,509","16,603","12,005","7,277",819
Luxembourg,LUX,"1,506","1,488","2,005","2,004","3,000","1,909",214
Macao,MAC,959,937,"1,005","1,005",726,441,163
Macedonia,MKD,"8,092","8,939","6,045","9,369","12,310","4,414",748
Madagascar,MDG,"5,642","49,461","79,174","56,537","48,070","49,681","4,760"
Malawi,MWI,448,819,969,"1,932","1,719","1,314",246
Malaysia,MYS,"183,407","204,506","269,671","197,659","195,642","108,137","21,427"
Maldives,MDV,"4,865","6,627","9,638","7,813","8,332","4,365",597
Mali,MLI,"2,258","2,942","2,637","2,930","4,194","2,990",185
Malta,MLT,"1,978","1,649",750,"4,713","1,713","1,027",209
Marshall Islands,MHL,34,37,105,132,"70",81,14
Martinique,MTQ,611,474,317,716,748,5,1
Mauritania,MRT,"7,739","25,236","5,943","6,606","8,875","4,413",516
Mauritius,MUS,"4,153","4,292","7,430","5,751","4,533","3,210",479
Mayotte,MYT,460,657,966,"1,823","1,963",936,116
Mexico,MEX,"827,988","793,721","786,215","815,792","717,468","342,558","83,800"
Moldova,MDA,"10,516","5,993","9,547","8,372","30,972","11,196","1,080"
Monaco,MCO,340,886,494,391,304,109,5
Mongolia,MNG,"4,636","10,757","21,656","25,716","80,203","6,591",971
Montenegro,MNE,"3,720","6,784","2,517","2,578","8,490","1,682",209
Montserrat,MSR,8,1,2,24,15,12,1
Morocco,MAR,"322,889","705,863","347,443","258,172","543,638","135,124","70,639"
Mozambique,MOZ,"4,688","6,824","6,691","12,312","12,533","14,837","3,050"
Namibia,NAM,897,789,906,"1,318","1,345","1,174",213
Nauru,NRU,31,33,49,105,46,20,5
Nepal,NPL,"63,366","178,371","263,130","182,978","174,824","42,740","14,859"
Netherlands,NLD,"25,753","25,704","36,790","57,012","72,913","245,365","27,681"
Netherlands Antilles,ANT,1,10,2,1,,,
New Caledonia,NCL,362,665,"2,375","1,203","966",502,47
New Zealand,NZL,"4,973","6,511","9,971","32,766","16,474","25,223","3,117"
Nicaragua,NIC,"19,065","45,487","37,012","79,591","48,018","21,437","3,334"
Niger,NER,666,700,828,"1,075","1,387",821,117
Nigeria,NGA,"39,052","46,610","57,654","123,256","339,660","419,398","18,921"
Niue,NIU,,,1,1,,,
Norfolk Island,NFK,2,0,,6,1,2,
North Korea,PRK,1,9,2,1,1,,2
Northern Mariana Islands,MNP,101,77,317,158,114,55,54
Norway,NOR,"8,031","6,979","7,807","47,026","13,300","22,210","2,262"
Oman,OMN,"41,494","41,533","64,156","55,355","99,862","44,100","4,820"
Pakistan,PAK,"1,158,390","1,288,513","2,030,801","2,059,884","1,924,739","825,209","211,399"
Palau,PLW,81,91,157,113,110,57,17
Palestinian Territory,PSE,"37,008","38,033","39,095","28,452","70,472","12,251","2,091"
Panama,PAN,"7,132","8,928","10,613","14,003","31,973","8,820","1,602"
Papua New Guinea,PNG,"1,353","3,140","7,076","12,578","11,108","8,627",660
Paraguay,PRY,"6,157","9,035","13,309","19,132","18,486","12,770","2,591"
People's Republic of China,CHN,"3,441","4,627","7,644","7,348","14,004","4,038",590
Peru,PER,"160,839","490,878","192,943","220,424","159,605","119,210","18,601"
Philippines,PHL,"801,272","1,339,597","3,188,793","2,576,182","2,740,905","1,364,464","356,785"
"Pitcairn, Henderson, Ducie, and Oeno",PCN,,,,11,4,,1
Poland,POL,"77,741","381,254","37,758","235,310","108,800","69,513","9,660"
Portugal,PRT,"30,369","26,982","34,415","42,674","45,675","22,950","3,731"
Puerto Rico,PRI,"7,849","11,859","6,703","6,796","5,358","3,557","1,441"
Qatar,QAT,"53,467","56,683","73,536","61,167","66,272","29,111","7,306"
Reunion,REU,"1,242","2,101","3,198","4,528","10,121","2,476",268
Romania/Rumania,ROU,"106,764","59,324","32,765","96,287","133,054","79,002","10,326"
Russian Federation,RUS,"72,037","64,580","81,897","89,326","158,015","233,737","10,233"
Rwanda,RWA,873,"1,456","1,248","1,817","1,559",959,"1,163"
Saint Bartelemey,BLM,7,12,9,14,19,,
"Saint Helena, Ascension, Tristan da Cunha",SHN,2,0,,1,4,1,1
Saint Kitts and Nevis,KNA,93,59,80,292,182,205,11
Saint Lucia,LCA,429,359,446,834,619,580,65
Saint Martin,MAF,53,56,20,50,50,,
Saint Pierre and Miquelon,SPM,5,15,62,60,16,12,
Saint Vincent and the Grenadines,VCT,253,303,407,703,444,438,51
Samoa,WSM,122,162,463,847,366,,
San Marino,SMR,7,12,5,36,38,16,2
Sao Tome and Principe,STP,692,576,412,450,948,240,48
Saudi Arabia,SAU,"514,832","510,240","708,980","602,745","833,909","417,373","73,309"
Senegal,SEN,"3,590","4,223","3,752","3,893","9,203","4,503",671
Serbia,SRB,"32,473","45,737","22,695","27,575","32,007","13,798","1,963"
Seychelles,SYC,"1,501",511,812,482,837,773,156
Sierre Leone,SLE,728,958,"1,185","1,676","1,247",808,75
Singapore,SGP,"18,426","22,769","53,603","74,792","35,063","14,960","3,933"
Sint Maarten,SXM,107,153,88,174,115,110,6
Slovakia,SVK,"6,769","6,554","7,275","39,748","13,164","8,062",584
Slovenia,SVN,"6,890","5,242","3,162","14,795","6,204","4,337",359
Solomon Islands,SLB,462,467,"1,466","1,570","1,294",504,145
Somalia,SOM,"17,245","21,745","29,636","22,310","20,951","7,449","1,008"
South Africa,ZAF,"38,031","105,925","50,875","82,398","92,959","51,558","16,280"
South Korea,KOR,"83,322","100,709","53,329","69,407","55,678","34,961","4,105"
South Sudan,SSD,633,"1,751","1,840","2,840","2,760",682,250
Spain,ESP,"46,836","70,544","33,136","77,727","104,748","51,694","19,767"
Sri Lanka,LKA,"73,202","130,267","152,811","146,025","137,361","55,261","8,920"
Sudan,SDN,"15,884","103,515","31,198","33,949","57,742","17,281","3,785"
Surinam,SUR,"3,366","2,666","2,062","3,096","3,417","1,480",243
"Svalbard, Jan Mayen",SJM,1,0,,1,1,,
Swaziland,SWZ,259,317,384,834,847,319,93
Sweden,SWE,"16,404","19,699","19,635","48,883","29,237","45,820","5,328"
Switzerland,CHE,"8,567","7,959","7,180","13,928","13,728","14,244","1,707"
Syria,SYR,"31,698","97,973","77,152","62,504","97,131","30,972","8,163"
Taiwan,TWN,"33,621","29,468","38,316","72,902","36,790","20,797","5,610"
Tajikistan,TJK,"5,065","3,510","4,036","8,885","22,892","3,395","2,004"
Tanzania,TZA,"6,785","5,752","7,068","8,385","10,940","6,768",967
Thailand,THA,"355,396","397,743","589,515","525,932","432,468","262,288","53,647"
Timor-Leste,TLS,"1,309","1,758","3,783","3,945","6,416","6,949",665
Togo,TGO,803,"1,097","1,391","2,917","3,436","2,062",223
Tokelau,TKL,,,4,4,,132,
Tonga,TON,37,68,188,717,193,53,22
Trinidad and Tobago,TTO,"3,537","3,411","4,552","9,306","6,155","5,740",830
Tunisia,TUN,"65,917","112,952","164,562","91,739","124,191","32,214","21,342"
Turkey,TUR,"222,881","225,126","289,046","276,331","817,503","204,488","275,961"
Turkmenistan,TKM,106,187,161,178,140,288,30
Turks and Calcos Islands,TCA,115,113,151,226,228,184,19
Tuvalu,TUV,4,10,25,50,17,6,15
Uganda,UGA,"4,976","6,575","4,538","5,510","7,659","7,579",583
Ukraine,UKR,"24,460","41,904","67,852","52,328","105,117","161,748","4,599"
United Arab Emirates,ARE,"330,268","216,874","327,820","265,307","295,661","138,728","32,590"
United Kingdom,GBR,"74,330","75,578","97,727","316,900","178,648","90,223","86,204"
United States,USA,"521,658","494,388","716,474","1,562,616","1,132,270","949,287","228,471"
United States Minor Outlying Islands,UMI,,,,,2,21,
Uruguay,URY,"5,187","5,894","6,320","8,235","9,808","8,650","1,132"
US Virgin Islands,VIR,131,216,200,281,248,234,21
Uzbekistan,UZB,"4,760","4,849","7,168","20,820","188,050","11,658","3,287"
Vanuatu,VUT,478,462,"1,414","1,861","1,321",794,121
Vatican City,VAT,,1,1,,,,
Venezuela,VEN,"37,802","127,975","150,778","301,190","249,567","110,158","16,068"
Vietnam,VNM,"379,554","843,963","716,065","957,432","533,236","285,193","95,967"
Wallis and Futuna,WLF,4,5,24,8,23,13,1
Western Sahara,ESH,7,4,77,12,20,7,7
Yemen Arab Republic,YEM,"41,984","69,709","243,340","211,626","320,910","160,703","55,324"
Zambia,ZMB,"2,841","3,726","3,881","7,885","8,777","3,676","3,525"
Zimbabwe,ZWE,391,718,810,"1,902","3,960","2,136",628
No Country Listed,,"1,668,157","641,874","1,193,266","1,662,916","1,851,762","1,489,223","675,865"
