country,iso3
"Algeria","DZA"
"Bahrain","BHR"
"Comoros","COM"
"Djibouti","DJI"
"Egypt","EGY"
"Iraq","IRQ"
"Jordan","JOR"
"Kuwait","KWT"
"Lebanon","LBN"
"Libya","LBY"
"Mauritania","MRT"
"Morocco","MAR"
"Oman","OMN"
"Palestine","PSE"
"Qatar","QAT"
"Saudi Arabia","SAU"
"Somalia","SOM"
"Sudan","SDN"
"Syrian Arab Republic","SYR"
"Tunisia","TUN"
"United Arab Emirates","ARE"
"Yemen","YEM"
