country,iso3,2019,2020,2021,2022,2023
Jamaica,JAM,"2,567","2,253","3,743","5,953","6,118"
Japan,JPN,"26,333","33,886","49,487","92,510","110,856"
Jersey,JEY,388,94,194,690,261
Jordan,JOR,"123,537","115,267","113,846","73,355","129,080"
Kazakhstan,KAZ,"10,680","9,238","16,752","17,055","143,064"
Kenya,KEN,"12,788","14,434","17,983","21,745","46,030"
Kiribati,KIR,136,82,179,250,279
Kosovo,XKX,694,"1,229","3,361","5,038","6,020"
Kuwait,KWT,"63,492","68,582","78,803","58,456","70,754"
Kyrgyzstan,KGZ,"6,280","4,612","3,822","6,993","113,762"
Lao People's Democratic Republic,LAO,"23,599","24,402","43,809","26,507","20,337"
Latvia,LVA,"1,347","1,418","1,537","3,688","4,671"
Lebanon,LBN,"28,136","37,892","46,528","24,863","43,757"
Lesotho,LSO,878,"1,030",850,"2,708","1,214"
Liberia,LBR,880,"1,926","1,770","6,375","2,987"
Libya,LBY,"150,848","189,955","270,811","163,336","206,430"
Liechtenstein,LIE,16,26,17,48,32
Lithuania,LTU,"11,857","7,624","3,509","16,603","12,005"
Luxembourg,LUX,"1,506","1,488","2,005","2,004","3,000"
Macao,MAC,959,937,"1,005","1,005",726
Macedonia,MKD,"8,092","8,939","6,045","9,369","12,310"
Madagascar,MDG,"5,642","49,461","79,174","56,537","48,070"
Malawi,MWI,448,819,969,"1,932","1,719"
Malaysia,MYS,"183,407","204,506","269,671","197,659","195,642"
Maldives,MDV,"4,865","6,627","9,638","7,813","8,332"
Mali,MLI,"2,258","2,942","2,637","2,930","4,194"
Malta,MLT,"1,978","1,649",750,"4,713","1,713"
Marshall Islands,MHL,34,37,105,132,"70"
Martinique,MTQ,611,474,317,716,748
Mauritania,MRT,"7,739","25,236","5,943","6,606","8,875"
Mauritius,MUS,"4,153","4,292","7,430","5,751","4,533"
Mayotte,MYT,460,657,966,"1,823","1,963"
Mexico,MEX,"827,988","793,721","786,215","815,792","717,468"
Moldova,MDA,"10,516","5,993","9,547","8,372","30,972"
Monaco,MCO,340,886,494,391,304
Mongolia,MNG,"4,636","10,757","21,656","25,716","80,203"
Montenegro,MNE,"3,720","6,784","2,517","2,578","8,490"
Montserrat,MSR,8,1,2,24,15
Morocco,MAR,"322,889","705,863","347,443","258,172","543,638"
Mozambique,MOZ,"4,688","6,824","6,691","12,312","12,533"
Namibia,NAM,897,789,906,"1,318","1,345"
Nauru,NRU,31,33,49,105,46
Nepal,NPL,"63,366","178,371","263,130","182,978","174,824"
Netherlands,NLD,"25,753","25,704","36,790","57,012","72,913"
Netherlands Antilles,ANT,1,10,2,1,
New Caledonia,NCL,362,665,"2,375","1,203","966"
New Zealand,NZL,"4,973","6,511","9,971","32,766","16,474"
Nicaragua,NIC,"19,065","45,487","37,012","79,591","48,018"
Niger,NER,666,700,828,"1,075","1,387"
Nigeria,NGA,"39,052","46,610","57,654","123,256","339,660"
Niue,NIU,,,1,1,
Norfolk Island,NFK,2,0,,6,1
North Korea,PRK,1,9,2,1,1
Northern Mariana Islands,MNP,101,77,317,158,114
Norway,NOR,"8,031","6,979","7,807","47,026","13,300"
Oman,OMN,"41,494","41,533","64,156","55,355","99,862"
Pakistan,PAK,"1,158,390","1,288,513","2,030,801","2,059,884","1,924,739"
Palau,PLW,81,91,157,113,110
Palestinian Territory,PSE,"37,008","38,033","39,095","28,452","70,472"
Panama,PAN,"7,132","8,928","10,613","14,003","31,973"
Papua New Guinea,PNG,"1,353","3,140","7,076","12,578","11,108"
Paraguay,PRY,"6,157","9,035","13,309","19,132","18,486"
People's Republic of China,CHN,"3,441","4,627","7,644","7,348","14,004"
Peru,PER,"160,839","490,878","192,943","220,424","159,605"
Philippines,PHL,"801,272","1,339,597","3,188,793","2,576,182","2,740,905"
"Pitcairn, Henderson, Ducie, and Oeno",PCN,,,,11,4
Poland,POL,"77,741","381,254","37,758","235,310","108,800"
Portugal,PRT,"30,369","26,982","34,415","42,674","45,675"
Puerto Rico,PRI,"7,849","11,859","6,703","6,796","5,358"
Qatar,QAT,"53,467","56,683","73,536","61,167","66,272"
Reunion,REU,"1,242","2,101","3,198","4,528","10,121"
Romania/Rumania,ROU,"106,764","59,324","32,765","96,287","133,054"
Russian Federation,RUS,"72,037","64,580","81,897","89,326","158,015"
Rwanda,RWA,873,"1,456","1,248","1,817","1,559"
Saint Bartelemey,BLM,7,12,9,14,19
"Saint Helena, Ascension, Tristan da Cunha",SHN,2,0,,1,4
Saint Kitts and Nevis,KNA,93,59,80,292,182
Saint Lucia,LCA,429,359,446,834,619
Saint Martin,MAF,53,56,20,50,50
Saint Pierre and Miquelon,SPM,5,15,62,60,16
Saint Vincent and the Grenadines,VCT,253,303,407,703,444
Samoa,WSM,122,162,463,847,366
San Marino,SMR,7,12,5,36,38
Sao Tome and Principe,STP,692,576,412,450,948
Saudi Arabia,SAU,"514,832","510,240","708,980","602,745","833,909"
Senegal,SEN,"3,590","4,223","3,752","3,893","9,203"
Serbia,SRB,"32,473","45,737","22,695","27,575","32,007"
Seychelles,SYC,"1,501",511,812,482,837
Sierre Leone,SLE,728,958,"1,185","1,676","1,247"
Singapore,SGP,"18,426","22,769","53,603","74,792","35,063"
Sint Maarten,SXM,107,153,88,174,115
Slovakia,SVK,"6,769","6,554","7,275","39,748","13,164"
Slovenia,SVN,"6,890","5,242","3,162","14,795","6,204"
Solomon Islands,SLB,462,467,"1,466","1,570","1,294"
Somalia,SOM,"17,245","21,745","29,636","22,310","20,951"
South Africa,ZAF,"38,031","105,925","50,875","82,398","92,959"
South Korea,KOR,"83,322","100,709","53,329","69,407","55,678"
South Sudan,SSD,633,"1,751","1,840","2,840","2,760"
Spain,ESP,"46,836","70,544","33,136","77,727","104,748"
Sri Lanka,LKA,"73,202","130,267","152,811","146,025","137,361"
Sudan,SDN,"15,884","103,515","31,198","33,949","57,742"
Surinam,SUR,"3,366","2,666","2,062","3,096","3,417"
"Svalbard, Jan Mayen",SJM,1,0,,1,1
Swaziland,SWZ,259,317,384,834,847
Sweden,SWE,"16,404","19,699","19,635","48,883","29,237"
Switzerland,CHE,"8,567","7,959","7,180","13,928","13,728"
Syria,SYR,"31,698","97,973","77,152","62,504","97,131"
Taiwan,TWN,"33,621","29,468","38,316","72,902","36,790"
Tajikistan,TJK,"5,065","3,510","4,036","8,885","22,892"
Tanzania,TZA,"6,785","5,752","7,068","8,385","10,940"
Thailand,THA,"355,396","397,743","589,515","525,932","432,468"
Timor-Leste,TLS,"1,309","1,758","3,783","3,945","6,416"
Togo,TGO,803,"1,097","1,391","2,917","3,436"
Tokelau,TKL,,,4,4,
Tonga,TON,37,68,188,717,193
Trinidad and Tobago,TTO,"3,537","3,411","4,552","9,306","6,155"
Tunisia,TUN,"65,917","112,952","164,562","91,739","124,191"
Turkey,TUR,"222,881","225,126","289,046","276,331","817,503"
Turkmenistan,TKM,106,187,161,178,140
Turks and Calcos Islands,TCA,115,113,151,226,228
Tuvalu,TUV,4,10,25,50,17
Uganda,UGA,"4,976","6,575","4,538","5,510","7,659"
Ukraine,UKR,"24,460","41,904","67,852","52,328","105,117"
United Arab Emirates,ARE,"330,268","216,874","327,820","265,307","295,661"
United Kingdom,GBR,"74,330","75,578","97,727","316,900","178,648"
United States,USA,"521,658","494,388","716,474","1,562,616","1,132,270"
United States Minor Outlying Islands,UMI,,,,,2
Uruguay,URY,"5,187","5,894","6,320","8,235","9,808"
US Virgin Islands,VIR,131,216,200,281,248
Uzbekistan,UZB,"4,760","4,849","7,168","20,820","188,050"
Vanuatu,VUT,478,462,"1,414","1,861","1,321"
Vatican City,VAT,,1,1,,
Venezuela,VEN,"37,802","127,975","150,778","301,190","249,567"
Vietnam,VNM,"379,554","843,963","716,065","957,432","533,236"


Wallis and Futuna,WLF,4,5,24,8,23
Western Sahara,ESH,7,4,77,12,20
Yemen Arab Republic,YEM,"41,984","69,709","243,340","211,626","320,910"
Zambia,ZMB,"2,841","3,726","3,881","7,885","8,777"
Zimbabwe,ZWE,391,718,810,"1,902","3,960"
No Country Listed,,"1,668,157","641,874","1,193,266","1,662,916","1,851,762"
