
"Year","Suspect's sex","Suspect's age","ICCS offence category","Persons suspected of solved offences","Number of offence headings for suspects of solved offences"
"2018","Males","18 -","030221  Child pornography",75,75
"2018","Males","18 - 29","030221  Child pornography",26,26
"2018","Males","30 - 49","030221  Child pornography",37,37
"2018","Males","50 -","030221  Child pornography",12,12
"2018","Males","Unknown","030221  Child pornography",0,0
"2018","Females","Total","030221  Child pornography",5,5
"2018","Females","0 - 14","030221  Child pornography",2,2
"2018","Females","0 - 17","030221  Child pornography",3,3
"2018","Females","18 -","030221  Child pornography",2,2
"2018","Females","18 - 29","030221  Child pornography",0,0
"2018","Females","30 - 49","030221  Child pornography",2,2
"2018","Females","50 -","030221  Child pornography",0,0
"2018","Females","Unknown","030221  Child pornography",0,0
"2018","Unknown","Total","030221  Child pornography",0,0
"2018","Unknown","0 - 14","030221  Child pornography",0,0
"2018","Unknown","0 - 17","030221  Child pornography",0,0
"2018","Unknown","18 -","030221  Child pornography",0,0
"2018","Unknown","18 - 29","030221  Child pornography",0,0
"2018","Unknown","30 - 49","030221  Child pornography",0,0
"2018","Unknown","50 -","030221  Child pornography",0,0
"2018","Unknown","Unknown","030221  Child pornography",0,0
"2019","Total","Total","030221  Child pornography",307,305
"2019","Total","0 - 14","030221  Child pornography",20,20
"2019","Total","0 - 17","030221  Child pornography",33,33
"2019","Total","18 -","030221  Child pornography",274,272
"2019","Total","18 - 29","030221  Child pornography",125,123
"2019","Total","30 - 49","030221  Child pornography",107,107
"2019","Total","50 -","030221  Child pornography",42,42
"2019","Total","Unknown","030221  Child pornography",0,0
"2019","Males","Total","030221  Child pornography",225,224
"2019","Males","0 - 14","030221  Child pornography",20,20
"2019","Males","0 - 17","030221  Child pornography",32,32
"2019","Males","18 -","030221  Child pornography",193,192
"2019","Males","18 - 29","030221  Child pornography",44,43
"2019","Males","30 - 49","030221  Child pornography",107,107
"2019","Males","50 -","030221  Child pornography",42,42
"2019","Males","Unknown","030221  Child pornography",0,0
"2019","Females","Total","030221  Child pornography",82,81
"2019","Females","0 - 14","030221  Child pornography",0,0
"2019","Females","0 - 17","030221  Child pornography",1,1
"2019","Females","18 -","030221  Child pornography",81,80
"2019","Females","18 - 29","030221  Child pornography",81,80
"2019","Females","30 - 49","030221  Child pornography",0,0
"2019","Females","50 -","030221  Child pornography",0,0
"2019","Females","Unknown","030221  Child pornography",0,0
"2019","Unknown","Total","030221  Child pornography",0,0
"2019","Unknown","0 - 14","030221  Child pornography",0,0
"2019","Unknown","0 - 17","030221  Child pornography",0,0
"2019","Unknown","18 -","030221  Child pornography",0,0
"2019","Unknown","18 - 29","030221  Child pornography",0,0
"2019","Unknown","30 - 49","030221  Child pornography",0,0
"2019","Unknown","50 -","030221  Child pornography",0,0
"2019","Unknown","Unknown","030221  Child pornography",0,0
"2020","Total","Total","030221  Child pornography",207,205
"2020","Total","0 - 14","030221  Child pornography",58,58
"2020","Total","0 - 17","030221  Child pornography",88,88
"2020","Total","18 -","030221  Child pornography",119,117
"2020","Total","18 - 29","030221  Child pornography",53,52
"2020","Total","30 - 49","030221  Child pornography",51,50
"2020","Total","50 -","030221  Child pornography",15,15
"2020","Total","Unknown","030221  Child pornography",0,0
"2020","Males","Total","030221  Child pornography",196,194
"2020","Males","0 - 14","030221  Child pornography",53,53
"2020","Males","0 - 17","030221  Child pornography",83,83
"2020","Males","18 -","030221  Child pornography",113,111
"2020","Males","18 - 29","030221  Child pornography",50,49
"2020","Males","30 - 49","030221  Child pornography",48,47
"2020","Males","50 -","030221  Child pornography",15,15
"2020","Males","Unknown","030221  Child pornography",0,0
"2020","Females","Total","030221  Child pornography",11,11
"2020","Females","0 - 14","030221  Child pornography",5,5
"2020","Females","0 - 17","030221  Child pornography",5,5
"2020","Females","18 -","030221  Child pornography",6,6
"2020","Females","18 - 29","030221  Child pornography",3,3
"2020","Females","30 - 49","030221  Child pornography",3,3
"2020","Females","50 -","030221  Child pornography",0,0
"2020","Females","Unknown","030221  Child pornography",0,0
"2020","Unknown","Total","030221  Child pornography",0,0
"2020","Unknown","0 - 14","030221  Child pornography",0,0
"2020","Unknown","0 - 17","030221  Child pornography",0,0
"2020","Unknown","18 -","030221  Child pornography",0,0
"2020","Unknown","18 - 29","030221  Child pornography",0,0
"2020","Unknown","30 - 49","030221  Child pornography",0,0
"2020","Unknown","50 -","030221  Child pornography",0,0
"2020","Unknown","Unknown","030221  Child pornography",0,0
"2021","Total","Total","030221  Child pornography",441,435
"2021","Total","0 - 14","030221  Child pornography",81,79
"2021","Total","0 - 17","030221  Child pornography",135,133
"2021","Total","18 -","030221  Child pornography",306,302
"2021","Total","18 - 29","030221  Child pornography",175,173
"2021","Total","30 - 49","030221  Child pornography",103,101
"2021","Total","50 -","030221  Child pornography",28,28
"2021","Total","Unknown","030221  Child pornography",0,0
"2021","Males","Total","030221  Child pornography",400,394
"2021","Males","0 - 14","030221  Child pornography",70,68
"2021","Males","0 - 17","030221  Child pornography",117,115
"2021","Males","18 -","030221  Child pornography",283,279
"2021","Males","18 - 29","030221  Child pornography",156,154
"2021","Males","30 - 49","030221  Child pornography",100,98
"2021","Males","50 -","030221  Child pornography",27,27
"2021","Males","Unknown","030221  Child pornography",0,0
"2021","Females","Total","030221  Child pornography",41,41
"2021","Females","0 - 14","030221  Child pornography",11,11
"2021","Females","0 - 17","030221  Child pornography",18,18
