1;2;3;4;5;6;7;8;9;10;11
400510;Besonders schwerer Fall des Diebstahls von unbaren Zahlungsmitteln;M;198;151;1;1;0;0;0;0
400510;Besonders schwerer Fall des Diebstahls von unbaren Zahlungsmitteln;W;63;45;0;0;0;0;0;0
400510;Besonders schwerer Fall des Diebstahls von unbaren Zahlungsmitteln;X;261;196;1;1;0;0;0;0
400520;Schwerer Diebstahl von unbaren Zahlungsmitteln §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;M;32;27;1;0;1;0;0;0
400520;Schwerer Diebstahl von unbaren Zahlungsmitteln §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;W;12;9;0;0;0;0;0;0
400520;Schwerer Diebstahl von unbaren Zahlungsmitteln §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;X;44;36;1;0;1;0;0;0
400700;Schwerer Diebstahl insgesamt von/aus Automaten;M;1,625;833;6;4;0;0;2;0
400700;Schwerer Diebstahl insgesamt von/aus Automaten;W;105;45;1;1;0;0;0;0
400700;Schwerer Diebstahl insgesamt von/aus Automaten;X;1,730;878;7;5;0;0;2;0
400710;Besonders schwerer Fall des Diebstahls von/aus Automaten;M;1,471;755;6;4;0;0;2;0
400710;Besonders schwerer Fall des Diebstahls von/aus Automaten;W;99;42;1;1;0;0;0;0
400710;Besonders schwerer Fall des Diebstahls von/aus Automaten;X;1,570;797;7;5;0;0;2;0
400720;Schwerer Diebstahl von/aus Automaten §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;M;216;118;0;0;0;0;0;0
400720;Schwerer Diebstahl von/aus Automaten §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;W;8;5;0;0;0;0;0;0
400720;Schwerer Diebstahl von/aus Automaten §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;X;224;123;0;0;0;0;0;0
400800;Schwerer Diebstahl insgesamt von Antiquitäten, Kunst- und sakralen Gegenständen;M;53;40;4;2;1;0;0;1
400800;Schwerer Diebstahl insgesamt von Antiquitäten, Kunst- und sakralen Gegenständen;W;6;5;1;0;0;1;0;0
